IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,LocationType,SpatialDimValueCode,Location,PeriodType,Period,IsLatestYear,FactValueNumeric,Value,FactComments,Language,DateModified
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2023,TRUE,0.01,0.01,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,TCD,Chad,Year,2023,TRUE,0.01,0.01,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,BEN,Benin,Year,2023,TRUE,0.05,0.05,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2023,TRUE,0.05,0.05,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2023,TRUE,0.06,0.06,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2023,TRUE,0.1,0.1,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2023,TRUE,0.11,0.11,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,SEN,Senegal,Year,2023,TRUE,0.11,0.11,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2023,TRUE,0.14,0.14,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,ZMB,Zambia,Year,2023,TRUE,0.14,0.14,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2023,TRUE,0.15,0.15,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,ZAF,South Africa,Year,2023,TRUE,0.19,0.19,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2023,TRUE,0.28,0.28,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2023,TRUE,0.3,0.3,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AFR,Africa,Country,BWA,Botswana,Year,2023,TRUE,0.36,0.36,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2023,TRUE,0.51,0.51,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,MNE,Montenegro,Year,2023,TRUE,0.58,0.58,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2023,TRUE,0.76,0.76,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2023,TRUE,0.96,0.96,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,WPR,Western Pacific,Country,IDN,Indonesia,Year,2023,TRUE,1.03,1.03,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2023,TRUE,1.24,1.24,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2023,TRUE,1.5,1.5,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2023,TRUE,1.56,1.56,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AMR,Americas,Country,SLV,El Salvador,Year,2023,TRUE,1.57,1.57,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2023,TRUE,1.64,1.64,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,POL,Poland,Year,2023,TRUE,10.73,10.73,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AMR,Americas,Country,ARG,Argentina,Year,2023,TRUE,10.86,10.86,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2023,TRUE,11.92,11.92,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,AND,Andorra,Year,2023,TRUE,12.11,12.11,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AMR,Americas,Country,CHL,Chile,Year,2023,TRUE,16.77,16.77,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,LTU,Lithuania,Year,2023,TRUE,16.84,16.84,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2023,TRUE,2.13,2.13,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AMR,Americas,Country,PER,Peru,Year,2023,TRUE,2.15,2.15,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AMR,Americas,Country,GTM,Guatemala,Year,2023,TRUE,2.68,2.68,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2023,TRUE,2.69,2.69,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2023,TRUE,3.96,3.96,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2023,TRUE,4.06,4.06,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,IRL,Ireland,Year,2023,TRUE,4.75,4.75,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2023,TRUE,4.93,4.93,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2023,TRUE,4.98,4.98,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2023,TRUE,5.26,5.26,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,BLR,Belarus,Year,2023,TRUE,6.09,6.09,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,AUT,Austria,Year,2023,TRUE,6.19,6.19,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AMR,Americas,Country,HND,Honduras,Year,2023,TRUE,7.1,7.1,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2023,TRUE,7.39,7.39,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,SMR,San Marino,Year,2023,TRUE,7.42,7.42,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AMR,Americas,Country,BRA,Brazil,Year,2023,TRUE,7.45,7.45,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,GEO,Georgia,Year,2023,TRUE,7.74,7.74,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2023,TRUE,7.81,7.81,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,ISL,Iceland,Year,2023,TRUE,7.84,7.84,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,AMR,Americas,Country,COL,Colombia,Year,2023,TRUE,8.68,8.68,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,NOR,Norway,Year,2023,TRUE,8.79,8.79,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2023,TRUE,8.85,8.85,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0010,"Dentists (per 10,000)",numeric,EUR,Europe,Country,ISR,Israel,Year,2023,TRUE,8.97,8.97,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2023,TRUE,1105,1105,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2023,TRUE,1170,1170,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2023,TRUE,12940,12 940,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,TCD,Chad,Year,2023,TRUE,13,13,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,BEL,Belgium,Year,2023,TRUE,13963,13 963,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2023,TRUE,133,133,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2023,TRUE,14255,14 255,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2023,TRUE,1527,1527,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2023,TRUE,1553,1553,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AMR,Americas,Country,BRA,Brazil,Year,2023,TRUE,157189,157 189,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,SEN,Senegal,Year,2023,TRUE,197,197,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2023,TRUE,21,21,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2023,TRUE,2200,2200,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2023,TRUE,2201,2201,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,IRL,Ireland,Year,2023,TRUE,2466,2466,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,SMR,San Marino,Year,2023,TRUE,25,25,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2023,TRUE,25970,25 970,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,WPR,Western Pacific,Country,IDN,Indonesia,Year,2023,TRUE,28942,28 942,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2023,TRUE,283,283,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,GEO,Georgia,Year,2023,TRUE,2945,2945,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2023,TRUE,3,3,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,ISL,Iceland,Year,2023,TRUE,304,304,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2023,TRUE,3046,3046,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AMR,Americas,Country,CHL,Chile,Year,2023,TRUE,32969,32 969,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2023,TRUE,33838,33 838,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2023,TRUE,35,35,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2023,TRUE,366,366,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2023,TRUE,37,37,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2023,TRUE,41,41,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,POL,Poland,Year,2023,TRUE,41599,41 599,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2023,TRUE,425,425,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2023,TRUE,4338,4338,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AMR,Americas,Country,COL,Colombia,Year,2023,TRUE,45399,45 399,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2023,TRUE,47640,47 640,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2023,TRUE,4806,4806,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,NOR,Norway,Year,2023,TRUE,4850,4850,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2023,TRUE,4864,4864,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2023,TRUE,4883,4883,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AMR,Americas,Country,ARG,Argentina,Year,2023,TRUE,49466,49 466,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2023,TRUE,492,492,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2023,TRUE,50,50,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,BLR,Belarus,Year,2023,TRUE,5550,5550,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,AUT,Austria,Year,2023,TRUE,5655,5655,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,BEN,Benin,Year,2023,TRUE,66,66,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2023,TRUE,7,7,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AMR,Americas,Country,PER,Peru,Year,2023,TRUE,7280,7280,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AMR,Americas,Country,HND,Honduras,Year,2023,TRUE,7558,7558,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2023,TRUE,8,8,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2023,TRUE,8300,8300,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AFR,Africa,Country,BWA,Botswana,Year,2023,TRUE,89,89,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2023,TRUE,910,910,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2023,TRUE,9413,9413,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,EUR,Europe,Country,AND,Andorra,Year,2023,TRUE,98,98,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0011,Dentists (number),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2023,TRUE,990,990,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,EUR,Europe,Country,NOR,Norway,Year,2023,TRUE,1027,1027,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2023,TRUE,1220,1220,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2023,TRUE,142,142,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,AMR,Americas,Country,PER,Peru,Year,2023,TRUE,151,151,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2023,TRUE,164,164,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2023,TRUE,17,17,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,WPR,Western Pacific,Country,IDN,Indonesia,Year,2023,TRUE,17280,17 280,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2023,TRUE,198,198,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,AFR,Africa,Country,BWA,Botswana,Year,2023,TRUE,24,24,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2023,TRUE,3004,3004,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2023,TRUE,317,317,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,EUR,Europe,Country,ISL,Iceland,Year,2023,TRUE,319,319,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2023,TRUE,35,35,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
HWF_0012,Dental Assistants and Therapists (number),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2023,TRUE,360,360,"NHWA data portal, December 2024 update https://apps.who.int/nhwaportal/",EN,2025-01-14T00:00:00.000Z
